arabic_word,meaning_korean,meaning_primary,example_sentence,sentence_meaning,chapter,root,verb_form,pattern,level,source
أَصْفَرَ,,노랗게 하다,أَصْفَرَ الشَّمْسُ الزُّهُورَ. (ʾaṣfara al-šamsu al-zuhūra.),태양이 꽃들을 노랗게 만들었다.,,ص-ف-ر,4,أَفْعَلَ,4,verb_forms
أَصْمَتَ,,침묵시키다,أَصْمَتَهُ الخَجَلُ.,수줍음이 그를 침묵하게 만들었다.,,ص-م-ت,4,أَفْعَلَ,4,verb_forms
أَصْنَدَ,,가로막다,أَصْنَدَ الْمُتَظَاهِرُونَ الطَّرِيقَ.,시위자들이 길을 막았다.,,ص-ن-د,4,أَفْعَلَ,4,verb_forms
أَصْنَعَ,,만들다,أَصْنَعُ سَيَّارَةً.,나는 자동차를 만든다.,,ص-ن-ع,4,أَفْعَلَ,4,verb_forms
أَصْيَرَ,,되게 하다,أَصْيَرَ الْحَدِيدَ مَغْنَاطِيسًا (ʾaṣyara al-ḥadīda maġnāṭīsan),그는 쇠를 자석으로 만들었다.,,ص-ي-ر,4,أَفْعَلَ,4,verb_forms
أَضْجَجَ,,혼란스럽게 하다,أَضْجَجَ الْخَبَرُ الشَّارِعَ. (ʾaḍjaja l-ḵabaru š-šāriʿa.),그 소식이 거리를 혼란스럽게 했다.,,ض-ج-ج,4,أَفْعَلَ,4,verb_forms
أَضْرَبَ,,파업하다,أَضْرَبَ العُمَّالُ عَنِ العَمَلِ.,노동자들이 파업했다.,,ض-ر-ب,4,أَفْعَلَ,4,verb_forms
أَضْطَرَ,,강요하다,اضْطَرَّتْهُ الظُّرُوفُ لِلسَّفَرِ. ,상황이 그를 여행하도록 강요했다. (상황 때문에 그는 어쩔 수 없이 여행하게 되었다.),,ض-ط-ر,4,أَفْعَلَ,4,verb_forms
أَضْعَفَ,,약화시키다,أَضْعَفَ الْحَرْبُ اقْتِصَادَ الْبِلَادِ.,전쟁은 국가의 경제를 약화시켰다.,,ض-ع-ف,4,أَفْعَلَ,4,verb_forms
أَطْبَبَ,,의사 되게 하다,أَطَبَّ الوَالِدُ ابْنَهُ فِي جَامِعَةٍ مَشْهُورَةٍ.,아버지는 그의 아들을 유명한 대학에서 의학 공부를 시켰다.,,ط-ب-ب,4,أَفْعَلَ,4,verb_forms
أَطْبَخَ,,요리하다,أَطْبَخُ الْعَشَاءَ كُلَّ يَوْمٍ.,나는 매일 저녁을 요리한다.,,ط-ب-خ,4,أَفْعَلَ,4,verb_forms
أَطْبَقَ,,덮다,أَطْبَقَ ٱلسَّمَاءُ عَلَى ٱلْأَرْضِ.‎,하늘이 땅을 덮었다.,,ط-ب-ق,4,أَفْعَلَ,4,verb_forms
أَطْرَتَ,,칭찬하다,أَطْرَاهُ الْمُدِيرُ عَلَى عَمَلِهِ.,이사( المدير )는 그의 업무에 대해 그를 칭찬했다.,,ط-ر-ت,4,أَفْعَلَ,4,verb_forms
أَطْرَقَ,,고개를 숙이다,أَطْرَقَ الرَّجُلُ خَجَلاً.,그 남자는 부끄러워서 고개를 숙였다.,,ط-ر-ق,4,أَفْعَلَ,4,verb_forms
أَطْعَمَ,,먹이다,أَطْعَمَ الرَّجُلُ الْفَقِيرَ.,그 남자는 가난한 사람에게 먹을 것을 주었다.,,ط-ع-م,4,أَفْعَلَ,4,verb_forms
أَطْقَسَ,,날씨를 관찰하다,أَطْقَسَ الرَّجُلُ السَّمَاءَ لِمَعْرِفَةِ حَالَةِ الطَّقْسِ.,그 남자는 날씨 상태를 알기 위해 하늘을 관찰했다.,,ط-ق-س,4,أَفْعَلَ,4,verb_forms
أَطْلَبَ,,요청하다,أَطْلُبُ مِنْكَ مُسَاعَدَةً.‎,나는 당신에게 도움을 요청합니다.,,ط-ل-ب,4,أَفْعَلَ,4,verb_forms
أَطْمَنَ,,안심시키다,أَطْمَنْتُهُ عَلَى سِرِّي. ,나는 그에게 내 비밀에 대해 안심시켰다.,,ط-م-ن,4,أَفْعَلَ,4,verb_forms
أَظْءَفَ,,성공시키다,أَظْءَفَ اللهُ مُحَمَّدًا عَلَى أَعْدَائِهِ.,알라께서 무함마드를 그의 적들에게 승리하도록 도우셨다.,,ظ-ء-ف,4,أَفْعَلَ,4,verb_forms
أَظْفَتَ,,승리하게 하다,أَظْفَتْهُ الْحُكُومَةُ عَلَى أَعْدَائِهِ.,정부가 그를 그의 적들에게 승리하게 했다.,,ظ-ف-ت,4,أَفْعَلَ,4,verb_forms
أَظْلَتَ,,그늘지게 하다,أَظَلَّتِ السَّحَابَةُ الْأَرْضَ. (ʾaẓallati s-saḥābatu l-ʾarḍa),구름이 땅을 그늘지게 했다.,,ظ-ل-ت,4,أَفْعَلَ,4,verb_forms
أَظْلَمَ,,어둡게 하다,أَظْلَمَتِ السَّمَاءُ.,하늘이 어두워졌다.,,ظ-ل-م,4,أَفْعَلَ,4,verb_forms
أَعْءَلَ,,먹이다,أَعْءَلَ الرَّجُلُ طِفْلَهُ.,남자가 그의 아이에게 먹였다.,,ع-ء-ل,4,أَفْعَلَ,4,verb_forms
أَعْبَرَ,,건너게 하다,أَعْبَرَهُ النَّهْرَ بِالْقَارِبِ. ,나는 그를 배로 강을 건너게 했다.,,ع-ب-ر,4,أَفْعَلَ,4,verb_forms
أَعْتَبَ,,만족시키다,أَعْتَبْتُ صَدِيقِي بِهَدِيَّةٍ.,나는 선물로 내 친구를 만족시켰다.,,ع-ت-ب,4,أَفْعَلَ,4,verb_forms
أَعْتَدَ,,준비하다,أَعْتَدْنَا لِلْكَافِرِينَ سَلَاسِلَ وَأَغْلَالًا وَسَعِيرًا,우리는 불신자들을 위해 쇠사슬과 족쇄와 불타는 지옥을 준비했다.,,ع-ت-د,4,أَفْعَلَ,4,verb_forms
أَعْتَقَ,,해방하다,أَعْتَقَ الرَّجُلُ عَبْدَهُ.,그 남자는 그의 노예를 해방했다.,,ع-ت-ق,4,أَفْعَلَ,4,verb_forms
أَعْتَمَ,,어둡게 하다,أَعْتَمَ الْمَكَانَ بِإِطْفَاءِ الْمِصْبَاحِ.,그는 등불을 끔으로써 그 장소를 어둡게 만들었다.,,ع-ت-م,4,أَفْعَلَ,4,verb_forms
أَعْثَرَ,,넘어뜨리다,أَعْثَرَهُ الْحَجَرُ.,돌이 그를 넘어뜨렸다.,,ع-ث-ر,4,أَفْعَلَ,4,verb_forms
أَعْدَدَ,,준비하다,أَعْدَدْتُ الْعَشاءَ. ,나는 저녁을 준비했다.,,ع-د-د,4,أَفْعَلَ,4,verb_forms
أَعْرَبَ,,분명히 하다,أَعْرَبَ المُتَحَدِّثُ عَنْ رَأْيِهِ بِوُضُوحٍ.,화자는 자신의 의견을 명확하게 표현했다.,,ع-ر-ب,4,أَفْعَلَ,4,verb_forms
أَعْرَتَ,,벌거벗기다,أَعْرَتْهُ الْحُمَّى.,열병이 그를 벌거벗겼다. (열병 때문에 옷을 벗거나 허약해졌다는 의미),,ع-ر-ت,4,أَفْعَلَ,4,verb_forms
أَعْرَجَ,,절뚝거리게 하다,أَعْرَجَهُ الحادثُ.,사고로 그를 절뚝거리게 만들었다.,,ع-ر-ج,4,أَفْعَلَ,4,verb_forms
أَعْرَسَ,,결혼시키다,أَعْرَسَ الرَّجُلُ ابْنَتَهُ.,그 남자는 그의 딸을 결혼시켰다.,,ع-ر-س,4,أَفْعَلَ,4,verb_forms
أَعْرَفَ,,알리다,أَعْرَفْتُهُ الْحَقِيقَةَ.,나는 그에게 진실을 알렸다.,,ع-ر-ف,4,أَفْعَلَ,4,verb_forms
أَعْرَقَ,,땀을 흘리다,أَعْرَقَ الْعَامِلُ فِي الْحَقْلِ.,일꾼이 밭에서 땀을 흘렸다.,,ع-ر-ق,4,أَفْعَلَ,4,verb_forms
أَعْشَءَ,,저녁 먹이다,أَعْشَأْتُ الضَّيْفَ.,나는 손님에게 저녁을 먹였다.,,ع-ش-ء,4,أَفْعَلَ,4,verb_forms
أَعْشَرَ,,십일조를 내다,أَعْشَرَ الْفَلَّاحُ مَحْصُولَهُ.,농부는 그의 수확물에 십일조를 냈다.,,ع-ش-ر,4,أَفْعَلَ,4,verb_forms
أَعْصَمَ,,보호하다,أَعْصَمَهُ اللهُ مِنَ الشَّرِّ. ,알라께서 그를 악으로부터 보호하셨다.,,ع-ص-م,4,أَفْعَلَ,4,verb_forms
أَعْضَهَ,,억지로 먹이다,أَعْضَهَ الطَّبِيبُ المَرِيضَ الدَّوَاءَ.,의사가 환자에게 억지로 약을 먹였다.,,ع-ض-ه,4,أَفْعَلَ,4,verb_forms
أَعْطَتَ,,주었다,أَعْطَتْهُ الْكِتَابَ.,그녀는 그에게 책을 주었다.,,ع-ط-ت,4,أَفْعَلَ,4,verb_forms
أَعْطَلَ,,고장내다,أَعْطَلَ الْعُطْلانُ السَّيَّارَةَ.,고장이 차를 멈추게 했다/고장이 차를 고장냈다.,,ع-ط-ل,4,أَفْعَلَ,4,verb_forms
أَعْقَبَ,,뒤따르게 하다,أَعْقَبَ الْفَوْزُ سُرُورًا عَظِيمًا.,승리는 큰 기쁨을 뒤따르게 했다 (승리는 큰 기쁨을 초래했다).,,ع-ق-ب,4,أَفْعَلَ,4,verb_forms
أَعْقَلَ,,이해시키다,أَعْقَلْتُهُ الحَقِيقَةَ.,나는 그에게 진실을 이해시켰다.,,ع-ق-ل,4,أَفْعَلَ,4,verb_forms
أَعْلَقَ,,매달다,أَعْلَقَهُ بِحُبِّهَا.,그녀는 그를 자신의 사랑에 매달리게 했다 (그를 그녀의 사랑에 집착하게 만들었다).,,ع-ل-ق,4,أَفْعَلَ,4,verb_forms
أَعْلَمَ,,알리다,أَعْلَمْتُهُ بِالْخَبَرِ. ,나는 그에게 소식을 알렸다.,,ع-ل-م,4,أَفْعَلَ,4,verb_forms
أَعْلََ,,알리다,أَعْلَنَ الْحُكُومَةُ عَنِ الْإِصْلَاحَاتِ الْجَدِيدَةِ,정부는 새로운 개혁에 대해 발표했다.,,ع-ل-,4,أَفْعَلَ,4,verb_forms
أَعْمَرَ,,번성하게 하다,أَعْمَرَ اللهُ دِيَارَهُمْ بِالْخَيْرِ.,신께서 그들의 집을 풍요로움으로 번성하게 하시기를.,,ع-م-ر,4,أَفْعَلَ,4,verb_forms
أَعْمَلَ,,일하게 하다,أَعْمَلْتُ الْعُمَّالَ فِي الْمَصْنَعِ.,나는 공장에서 노동자들을 일하게 했다.,,ع-م-ل,4,أَفْعَلَ,4,verb_forms
أَعْمَنَ,,눈멀게 하다,أَعْمَى الْحُبُّ بَصِيرَتَهُ.,사랑이 그의 통찰력을 가렸다.,,ع-م-ن,4,أَفْعَلَ,4,verb_forms
أَعْنَتَ,,괴롭히다,أَعْنَتَ الْمُجْتَمَعُ الشَّبَابَ بِغَلَاءِ الْمَعِيشَةِ.,높은 생활비 때문에 사회가 젊은이들을 괴롭혔다.,,ع-ن-ت,4,أَفْعَلَ,4,verb_forms
أَعْنَدَ,,고집하다,أَعْنَدَ الوَلَدُ أَبَاهُ.,아이가 아버지를 고집했다.,,ع-ن-د,4,أَفْعَلَ,4,verb_forms
أَعْنَهَ,,괴롭히다,أَعْنَاهُ المَرَضُ.,병이 그를 괴롭혔다.,,ع-ن-ه,4,أَفْعَلَ,4,verb_forms
أَغْرَبَ,,이상하게 여기다,أَغْرَبَهُ تَصَرُّفُهُ. (ʾaḡrabahu taṣarrufu-hu.),그의 행동이 그를 이상하게 여겨지게 했다.,,غ-ر-ب,4,أَفْعَلَ,4,verb_forms
أَغْرَفَ,,떠주다,أَغْرَفَ الْوَلَدُ الْحِسَاءَ مِنَ الْقِدْرِ. ,소년은 냄비에서 수프를 떠주었다.,,غ-ر-ف,4,أَفْعَلَ,4,verb_forms
أَغْسَلَ,,씻기다,أَغْسَلُ السَيَّارَةَ كُلَّ أُسْبُوعٍ. ,나는 매주 차를 씻는다. (나는 차를 씻긴다/세차한다),,غ-س-ل,4,أَفْعَلَ,4,verb_forms
أَغْضَبَ,,분노하게 하다,أَغْضَبَنِي كَذِبُهُ.,그의 거짓말이 나를 화나게 했다.,,غ-ض-ب,4,أَفْعَلَ,4,verb_forms
أَغْلَقَ,,닫다,أَغْلَقَ الْبَابَ مُبَكِّرًا. ,그는 문을 일찍 닫았다.,,غ-ل-ق,4,أَفْعَلَ,4,verb_forms
أَغْنَءَ,,부유하게 하다,أَغْنَاهُ ٱللَّهُ مِن فَضْلِهِ.,알라께서 그에게 은혜로 부유하게 하셨다.,,غ-ن-ء,4,أَفْعَلَ,4,verb_forms
أَغْنَمَ,,획득하다,أَغْنَمَ الْجَيْشُ سِلَاحًا كَثِيرًا فِي الْمَعْرَكَةِ.,군대는 전투에서 많은 무기를 획득했다.,,غ-ن-م,4,أَفْعَلَ,4,verb_forms
أَفْتَتَ,,부수다,أَفْتَتَ الْخُبْزَ لِلطُّيُورِ.,그는 새들을 위해 빵을 부수었다.,,ف-ت-ت,4,أَفْعَلَ,4,verb_forms
أَفْتَحَ,,열다,أَفْتَحَ الْمُدِيرُ الْبَابَ.‎,부장이 문을 열었다.,,ف-ت-ح,4,أَفْعَلَ,4,verb_forms
أَفْتَرَ,,약하게 하다,أَفْتَرَ الصَّوْمُ جِسْمَ الرَّجُلِ,단식이 남자의 몸을 약하게 만들었다.,,ف-ت-ر,4,أَفْعَلَ,4,verb_forms
أَفْدَتَ,,속죄하다,أَفْدَتِ الأمُّ ابْنَهَا بِنَفْسِهَا.,어머니는 아들을 자기 자신으로 속죄했다. (어머니는 자신의 목숨으로 아들을 구했다.),,ف-د-ت,4,أَفْعَلَ,4,verb_forms
أَفْرَحَ,,기쁘게 하다,أَفْرَحَنِي نَجَاحُكَ.,너의 성공이 나를 기쁘게 했다.,,ف-ر-ح,4,أَفْعَلَ,4,verb_forms
أَفْرَدَ,,분리하다,أَفْرَدَ الْمُدَرِّسُ طَالِبًا لِلْمُسَاعَدَةِ. ,선생님은 도움을 주기 위해 한 학생을 따로 분리했다/지정했다.,,ف-ر-د,4,أَفْعَلَ,4,verb_forms
أَفْرَشَ,,깔다,أَفْرَشَ الْعُمَّالُ الْأَرْضَ بِالسَّجَّادِ.,노동자들이 땅에 양탄자를 깔았다.,,ف-ر-ش,4,أَفْعَلَ,4,verb_forms
أَفْرَصَ,,기회를 주다,أَفْرَصْتُهُ لِلْعَمَلِ.,나는 그에게 일할 기회를 주었다.,,ف-ر-ص,4,أَفْعَلَ,4,verb_forms
أَفْرَقَ,,두려워하다,أَفْرَقَ الْجُنْدِيُّ مِنْ صَوْتِ الانْفِجَارِ.,군인은 폭발 소리에 두려워했다.,,ف-ر-ق,4,أَفْعَلَ,4,verb_forms
أَفْسَدَ,,타락시키다,أَفْسَدَ الْحَرْبُ كُلَّ شَيْءٍ. ,전쟁은 모든 것을 파괴했다.,,ف-س-د,4,أَفْعَلَ,4,verb_forms
أَفْسَرَ,,해석하다,أَفْسَرَ الْحُلْمَ.,그는 꿈을 해석했다.,,ف-س-ر,4,أَفْعَلَ,4,verb_forms
أَفْسَهَ,,썩히다,أَفْسَدَ الحَرُّ الطَّعَامَ.,더위가 음식을 썩게 만들었다.,,ف-س-ه,4,أَفْعَلَ,4,verb_forms
أَفْصَلَ,,분리하다,أَفْصَلَ الْمُدِيرُ الْمُوَظَّفَ (ʾafṣala al-mudīru al-muwaẓẓafa),부장이 직원을 해고했다.,,ف-ص-ل,4,أَفْعَلَ,4,verb_forms
أَفْضَلَ,,선호하다,أُفَضِّلُ الشَّايَ عَلَى القَهْوَةِ.,나는 커피보다 차를 선호한다.,,ف-ض-ل,4,أَفْعَلَ,4,verb_forms
أَفْطَرَ,,단식하다,أَفْطَرَ الصَّائِمُ عِنْدَ الْمَغْرِبِ.,단식하는 사람은 해가 질 때 단식을 끝냈다.,,ف-ط-ر,4,أَفْعَلَ,4,verb_forms
أَفْكَرَ,,생각하게 하다,أَفْكَرَنِي الْمُعَلِّمُ فِي الْمَسْأَلَةِ.,선생님은 나를 그 문제에 대해 생각하게 만들었다.,,ف-ك-ر,4,أَفْعَلَ,4,verb_forms
أَفْنَدَ,,반박하다,أَفْنَدَ الْبَاحِثُ ادِّعَاءَاتِهِ بِأَدِلَّةٍ قَوِيَّةٍ.,그 연구자는 강력한 증거로 그의 주장을 반박했다.,,ف-ن-د,4,أَفْعَلَ,4,verb_forms
أَقْءَدَ,,주저앉히다,أَقْعَدَهُ المَرَضُ عَنِ العَمَلِ,병이 그를 일을 못하게 만들었다.,,ق-ء-د,4,أَفْعَلَ,4,verb_forms
أَقْبَلَ,,다가오다,أَقْبَلَ الرَّجُلُ إِلَيْنَا بِسُرْعَةٍ.,그 남자는 우리에게 빠른 속도로 다가왔다.,,ق-ب-ل,4,أَفْعَلَ,4,verb_forms
أَقْتَلَ,,죽이다,أَقْتَلَ الْجُنْدِيُّ الْعَدُوَّ. (ʾaqtala al-jundiyyu al-ʿaduwwa.),군인이 적을 죽였다.,,ق-ت-ل,4,أَفْعَلَ,4,verb_forms
أَقْدَرَ,,가능하게 하다,أَقْدَرَهُ اللهُ عَلَى فِعْلِ الخَيْرِ.,신이 그에게 선을 행할 수 있도록 해주셨다.,,ق-د-ر,4,أَفْعَلَ,4,verb_forms
أَقْدَسَ,,신성시하다,أَقْدَسَ الْمُسْلِمُونَ الْمَسْجِدَ الْأَقْصَى.,무슬림들은 알아크사 모스크를 신성시한다.,,ق-د-س,4,أَفْعَلَ,4,verb_forms
أَقْدَمَ,,착수하다,أَقْدَمَ الجنديُّ على الهجومِ. ,군인이 공격에 착수했다.,,ق-د-م,4,أَفْعَلَ,4,verb_forms
أَقْرَءَ,,읽게 하다,أَقْرَأْتُ الطِّفْلَ الْكِتَابَ.,나는 아이에게 책을 읽게 했다.,,ق-ر-ء,4,أَفْعَلَ,4,verb_forms
أَقْرَأَ,,읽게 하다,أَقْرَأْتُ الطِّفْلَ الْقِصَّةَ.,나는 아이에게 그 이야기를 읽게 했다.,,ق-ر-أ,4,أَفْعَلَ,4,verb_forms
أَقْرَبَ,,가깝게 하다,أَقْرَبَ الْكِتَابَ إِلَيَّ,그는 책을 내게 가까이 가져왔다.,,ق-ر-ب,4,أَفْعَلَ,4,verb_forms
أَقْرَتَ,,인정하다,أَقَرَّ المُتَّهَمُ بِالجَرِيمَةِ أَمَامَ المَحْكَمَةِ.,피고인은 법정에서 범죄를 인정했다.,,ق-ر-ت,4,أَفْعَلَ,4,verb_forms
أَقْرَرَ,,인정하다,أَقَرَّتِ الْمَحْكَمَةُ بِبَرَاءَتِهِ.,법원은 그의 무죄를 인정했다.,,ق-ر-ر,4,أَفْعَلَ,4,verb_forms
أَقْسَمَ,,맹세하다,أَقْسَمَ باللهِ أَنْ يَفِيَ بِوَعْدِهِ.,그는 약속을 지킬 것을 신께 맹세했다.,,ق-س-م,4,أَفْعَلَ,4,verb_forms
أَقْصَرَ,,줄이다,أَقْصَرَ الْخَطِيبُ الْخُطْبَةَ.,연설가가 연설을 짧게 했다.,,ق-ص-ر,4,أَفْعَلَ,4,verb_forms
أَقْطَرَ,,방울 떨어뜨리다,أَقْطَرَ الطَّبِيبُ دَوَاءً فِي عَيْنِ الْمَرِيضِ.,의사는 환자의 눈에 약을 한 방울 떨어뜨렸다.,,ق-ط-ر,4,أَفْعَلَ,4,verb_forms
أَقْطَعَ,,끊다,أَقْطَعَ الشَّرْطِيُّ الطَّرِيقَ. ,경찰관이 길을 막았다.,,ق-ط-ع,4,أَفْعَلَ,4,verb_forms
أَقْظَتَ,,깨우다,أَقْظَتْنِي الضَّوْضَاءُ.,소음이 나를 깨웠다.,,ق-ظ-ت,4,أَفْعَلَ,4,verb_forms
أَقْعَدَ,,앉히다,أَقْعَدَهُ المَرَضُ,병이 그를 앉게 만들었다 (병 때문에 그는 움직이지 못하게 되었다).,,ق-ع-د,4,أَفْعَلَ,4,verb_forms
أَقْلَقَ,,불안하게 하다,أَقْلَقَهُ النَّبَأُ الْحَزِينُ كَثِيرًا.,슬픈 소식이 그를 매우 불안하게 만들었다.,,ق-ل-ق,4,أَفْعَلَ,4,verb_forms
أَقْلَمَ,,순화시키다,أَقْلَمَ المُدِيرُ النَّبَاتَاتِ الجَدِيدَةَ.,이사는 새로운 식물들을 순화시켰다.,,ق-ل-م,4,أَفْعَلَ,4,verb_forms
أَقْمَتَ,,침묵시키다,أَقْمَتَ الْمُتَحَدِّثُ الْجُمْهُورَ بِكَلَامِهِ.,연사는 그의 말로 청중을 침묵시켰다.,,ق-م-ت,4,أَفْعَلَ,4,verb_forms
أَقْوَلَ,,말하게 하다,أَقْوَلَهُ الشُّرْطِيُّ الحَقِيقَةَ أَمَامَ القَاضِي.,경찰은 그에게 판사 앞에서 진실을 말하게 했다.,,ق-و-ل,4,أَفْعَلَ,4,verb_forms
أَقْوَيَ,,강하게 하다,أَقْوَى ٱللَّهُ شَأْنَ ٱلْمُؤْمِنِينَ.,알라께서 신자들의 지위를 강하게 하셨다.,,ق-و-ي,4,أَفْعَلَ,4,verb_forms
أَكْبَرَ,,존경하다,أَكْبَرَ النَّاسُ العَالِمَ لِعِلْمِهِ.,사람들은 학식 때문에 학자를 존경했다.,,ك-ب-ر,4,أَفْعَلَ,4,verb_forms
أَكْتَبَ,,쓰게 하다,أَكْتَبَ الْمُعَلِّمُ الطُّلَّابَ الدَّرْسَ.,선생님은 학생들이 수업을 쓰게 했다.,,ك-ت-ب,4,أَفْعَلَ,4,verb_forms
أَكْتَسَ,,획득하다,أَكْتَسَبَ المُتَعَلِّمُ عِلْمًا جَدِيدًا.,학생은 새로운 지식을 획득했다.,,ك-ت-س,4,أَفْعَلَ,4,verb_forms
أَكْحَلَ,,검게 칠하다,أَكْحَلَتِ المَرْأَةُ عَيْنَيْهَا بِالكُحْلِ.,여자는 눈에 콜로 눈화장을 했다.,,ك-ح-ل,4,أَفْعَلَ,4,verb_forms
أَكْرَةَ,,강요하다,أَكْرَهَ الرَّجُلُ ابْنَهُ عَلَى الدِّرَاسَةِ.,그 남자는 아들에게 공부를 강요했다.,,ك-ر-ة,4,أَفْعَلَ,4,verb_forms
أَكْرَسَ,,강화하다,أَكْرَسَ المُدَرِّسُ المَعْلُومَاتِ فِي ذِهْنِ الطُّلَّابِ.,선생님은 학생들의 마음속에 정보를 강화했다.,,ك-ر-س,4,أَفْعَلَ,4,verb_forms
أَكْسَرَ,,부수다,أَكْسَرَ الرِّيحُ الشَّجَرَ الْعَظِيمَ.,바람이 거대한 나무를 부쉈다.,,ك-س-ر,4,أَفْعَلَ,4,verb_forms
أَكْشَرَ,,이를 드러내다,أَكْشَرَ الْكَلْبُ عَنْ أَنْيَابِهِ. ,개가 송곳니를 드러냈다.,,ك-ش-ر,4,أَفْعَلَ,4,verb_forms
أَكْلَبَ,,개처럼 만들다,أَكْلَبَهُ الغَضَبُ. (ʾaklaba-hu al-ghaḍabu.),분노가 그를 미치게 만들었다.,,ك-ل-ب,4,أَفْعَلَ,4,verb_forms
أَكْلَمَ,,상처 입히다,أَكْلَمَهُ بِالسَّيْفِ.‎,그는 칼로 그를 상처 입혔다.,,ك-ل-م,4,أَفْعَلَ,4,verb_forms
أَكْمَءَ,,벙어리로 만들다,أَكْمَأَهُ الْخَوْفُ.,두려움이 그를 벙어리로 만들었다. (두려움 때문에 그는 말을 못 하게 되었다.),,ك-م-ء,4,أَفْعَلَ,4,verb_forms
أَكْنَتَ,,침묵시키다,أَكْنَتَ الْحُجَّةُ الْمُعَارِضَ.‎,그 논증은 반대자를 침묵시켰다.,,ك-ن-ت,4,أَفْعَلَ,4,verb_forms
أَكْوَنَ,,존재하게 하다,أَكْوَنَ اللهُ السَّمَاوَاتِ وَالْأَرْضَ. (ʾakwana allāhu s-samāwāti wal-ʾarḍa),알라께서 하늘과 땅을 존재하게 하셨다.,,ك-و-ن,4,أَفْعَلَ,4,verb_forms
أَلْتَدَ,,돌아보게 하다,أَلْتَدَهُ الصَّوْتُ العَالِي.,큰 소리가 그를 돌아보게 만들었다.,,ل-ت-د,4,أَفْعَلَ,4,verb_forms
أَلْتَفَ,,돌아보다,اِلْتَفَتَ إِلَيْهِ بِاهْتِمَامٍ.‎,그는 그에게 관심을 가지고 돌아봤다.,,ل-ت-ف,4,أَفْعَلَ,4,verb_forms
أَلْجَدَ,,억지로 시키다,أَلْجَدَهُ عَلَى الْعَمَلِ.,그는 그를 일하도록 억지로 시켰다.,,ل-ج-د,4,أَفْعَلَ,4,verb_forms
أَلْحَصَ,,싹트게 하다,أَلْحَصَ الْمَطَرُ الْبُذُورَ. (ʾalḥaṣa l-maṭaru l-buḏūra.),비가 씨앗을 싹트게 했다.,,ل-ح-ص,4,أَفْعَلَ,4,verb_forms
أَلْحَفَ,,덮어씌우다,أَلْحَفَ الْوَلَدَ بِالْبِطَانِيَّةِ,그는 아이에게 담요를 덮어씌웠다.,,ل-ح-ف,4,أَفْعَلَ,4,verb_forms
أَلْدَرَ,,황폐화시키다,أَلْدَرَ الْحَرْبُ الْبِلَادَ,전쟁이 나라를 황폐화시켰다.,,ل-د-ر,4,أَفْعَلَ,4,verb_forms
أَلْذَنَ,,순종하게 하다,أَلْذَنَ الْحَاكِمُ شَعْبَهُ بِالْقُوَّةِ.,통치자는 힘으로 백성을 순종하게 만들었다.,,ل-ذ-ن,4,أَفْعَلَ,4,verb_forms
أَلْسَنَ,,말하게 하다,أَلْسَنَ الشَّاعِرُ القَصِيدَةَ.,시인은 시를 낭송하게 했다.,,ل-س-ن,4,أَفْعَلَ,4,verb_forms
أَلْصَفَ,,붙이다,أَلْصَقَ الصُّورَةَ بِالْحَائِطِ.,그는 사진을 벽에 붙였다.,,ل-ص-ف,4,أَفْعَلَ,4,verb_forms
أَلْضَفَ,,접합하다,أَلْضَفَ الْحَدَّادُ الْحَدِيدَ بِالْحَدِيدِ.,대장장이는 쇠를 쇠에 접합했다.,,ل-ض-ف,4,أَفْعَلَ,4,verb_forms
أَلْطَرَ,,강요하다,أَلْطَرَهُمُ الْجَيْشُ عَلَى التَّرَاجُعِ.,군대는 그들이 후퇴하도록 강요했다.,,ل-ط-ر,4,أَفْعَلَ,4,verb_forms
أَلْعَبَ,,놀게 하다,أَلْعَبْتُ الطِّفْلَ بِاللُّعْبَةِ.‎,나는 아이가 장난감을 가지고 놀게 했다.,,ل-ع-ب,4,أَفْعَلَ,4,verb_forms
أَلْعَلَ,,가능성 제시,أَلْعَلَّ اللهَ يُحْدِثُ بَعْدَ ذَٰلِكَ أَمْرًا,어쩌면 하나님께서 그 후에 어떤 일을 일으키실지도 모른다.,,ل-ع-ل,4,أَفْعَلَ,4,verb_forms
أَلْغَرَ,,유혹하다,أَلْغَرَهُ الْمَالُ.,돈이 그를 유혹했다.,,ل-غ-ر,4,أَفْعَلَ,4,verb_forms
أَلْمَبَ,,비난하다,أَلْمَبَهُ عَلَى تَأْخِيرِهِ.,나는 그의 지각에 대해 그를 비난했다.,,ل-م-ب,4,أَفْعَلَ,4,verb_forms
أَلْمَتَ,,아프게 하다,أَلْمَتْهُ كَلِمَاتُهَا الْقَاسِيَةُ.,그녀의 가혹한 말들이 그를 아프게 했다.,,ل-م-ت,4,أَفْعَلَ,4,verb_forms
أَلْنَصَ,,속이다,أَلْنَصَهُ في الصفقة.,그는 그를 거래에서 속였다.,,ل-ن-ص,4,أَفْعَلَ,4,verb_forms
أَلْهَمَ,,영감을 주다,ألْهَمَ الشَّاعِرَ قَصِيدَةً جَمِيلَةً.,그것은 시인에게 아름다운 시 한 편을 쓸 영감을 주었다.,,ل-ه-م,4,أَفْعَلَ,4,verb_forms
أَمْءَةَ,,채우다,أَمْأَ الرَّجُلُ الْإِنَاءَ مَاءً.,그 남자는 그릇을 물로 채웠다.,,م-ء-ة,4,أَفْعَلَ,4,verb_forms
